,id,output,classe,subclasse
0,Alimentação e Nutrição,Efeito da Gastroplastia Vertical com Derivação Gastro-Jejunal sobre o Estado Nutricional Relativo ao Zinco e Correlações com a Melhora da Sensibilidade a Insulina em Pacientes Obesos,recomend,porcat
1,Alimentação e Nutrição,Esterilização a frio de água de coco verde por pressão hidrostática,recomend,porcat
2,Alimentação e Nutrição,Estudo da produção tecnológica de matérias-primas e de fórmulas equilibradas para suporte nutricional usando carne mecanicamente separada de frango (CMSF),recomend,porcat
3,Alimentação e Nutrição,Diagnóstico de desnutrição energético-proteico e da deficiência de micronutrientes em escolares da rede pública estadual e municipal de Teresina-PI.,recomend,porcat
4,Alimentação e Nutrição,Atividades de educação nutricional em escolas de um município da região metropolitana de São Paulo,recomend,porcat
5,Alimentação e Nutrição,Compostos bioativos em alimentos brasileiros,recomend,porcat
6,Alimentação e Nutrição,Detecção de resíduos de organismos geneticamente modificados em alimentos: avaliação de metodologias de extração de DNA de matérias-primas e produtos acabados,recomend,porcat
7,Alimentação e Nutrição,Distribuição intrafamiliar de alimentos: estudo de uma população de trabalhadores rurais no Nordeste do Brasil,recomend,porcat
8,Alimentação e Nutrição,Estudo da relação entre os níveis de vitamina A e os fatores de proteção do leite materno: componente secretor livre (fSC) e imunoglobulina A secretoria (sIgA),recomend,porcat
9,Alimentação e Nutrição,Efeitos do clampeamento precoce e tardio do cordão umbilical sobre os níveis de hemoglobina e ferritina em lactentes ate o sexto mês de vida,recomend,porcat
10,Alimentação e Nutrição,Avaliação do efeito da suplementação materna de vitamina A no pós-parto imediato,recomend,porcat
11,Alimentação e Nutrição,"Alterações químicas, físicas e nutricionais em óleos utilizados em processos de fritura",recomend,porcat
12,Alimentação e Nutrição,Projeto: a Escola Promovendo Hábitos Alimentares Saudáveis,recomend,porcat
13,Alimentação e Nutrição,Elaboração de duas dietas parenterais para a manutenção e melhora da funcionalidade de leucócitos humanos.,recomend,porcat
14,Alimentação e Nutrição,Acompanhamento nutricional em pacientes com osteoporose,recomend,porcat
15,Alimentação e Nutrição,Concentração de hemoglobina e prevalência de anemia em pré-escolares atendidos em creches da rede do município de São Paulo. Efetividade do programa de fortificação com ferro das farinhas de trigo e de milho.,recomend,porcat
16,Alimentação e Nutrição,Ferro labil em suplementos alimentares e sua possibilidade de geração de reservatórios de ferro redox-ativos no plasma sangüíneo,recomend,porcat
17,Alimentação e Nutrição,Desenvolvimento de técnicas para o refinamento de métodos de avaliação do consumo de alimentos com o auxílio de imagens,recomend,porcat
18,Alimentação e Nutrição,Acompanhamento da implementação da Lei da Regulamentação das Cantinas Escolares sobre os hábitos alimentares e o estado nutricional de escolares,recomend,porcat
19,Alimentação e Nutrição,Avaliação do Estado Nutricional e Educação Alimentar,recomend,porcat
20,Alimentação e Nutrição,"Fatores de ""Proteção"" contra co-morbidades cardiovascular em obesos: Em busca da ""epidemiologia reversa"" da obesidade.",recomend,porcat
21,Alimentação e Nutrição,Desenvolvimento de tecnologia de educação permanente a distância para promoção da alimentação saudável (componente da Net-escola de Saúde Coletiva).,recomend,porcat
22,Alimentação e Nutrição,Excesso de peso e obesidade em favela na cidade do Recife e o impacto de um programa de educação física: ensaio clínico randomizado,recomend,porcat
23,Alimentação e Nutrição,Doenças crônicas e agravos não transmissíveis no estado de Pernambuco: prevalência e fatores de risco,recomend,porcat
24,Alimentação e Nutrição,Aspectos determinantes do baixo peso ao nascer: avaliação da adequação e efetividade do Programa Bebê de Risco,recomend,porcat
25,Pesquisa Clínica,"Promoção da osteogênese usando células-tronco mesenquimais humanas em cultivo tridimensional usando matriz de quitosana-gelatina-condroitina, suas aplicações na engenharia de tecidos e uso terapêutico.",recomend,porcat
26,Doenças Crônicas Não Transmissíveis,Estudo do silenciamento do gene da telomerase e da gliceraldeído-3-fosfato desidrogenase através da infecção com Adenovírus contendo o hairpin molde de siRNA na susceptibilidade de células de câncer de mama à irradiação com Co60 como modelo de terapia em neoplasias ,recomend,porcat
27,Alimentação e Nutrição,Doença celíaca: padronização de técnicas moleculares para screening genético a baixo custo.,recomend,porcat
28,Alimentação e Nutrição,Avaliação do impacto social de programas de alimentação sobre o estado nutricional e desenvolvimento pondo-estatural e qualidade de vida de crianças pré-escolares em Fortaleza - CE.,recomend,porcat
29,Alimentação e Nutrição,Desenvolvimento de metodologias para a popularização do conhecimento no campo da segurança alimentar e nutricional,recomend,porcat
30,Alimentação e Nutrição,Síntese enzimática de vitamina A utilizando lipase imobilizada,recomend,porcat
31,Alimentação e Nutrição,"Situação alimentar, nutricional e de saúde no estado de Pernambuco: contexto socioeconômico e de serviços",recomend,porcat
32,Alimentação e Nutrição,Técnicas de biologia molecular na pratica clínica dos nutricionistas para estudo da interação gene-alimentação na prevenção da obesidade infanto-juvenil,recomend,porcat
33,Alimentação e Nutrição,"Usando o modelo Estágio de Mudança como estratégia teórico-metodológica para a promoção do consumo de frutas, verduras e legumes no ambiente escolar.",recomend,porcat
34,Alimentação e Nutrição,Avaliação da ação antidislipidêmica e anti-inflamatória da Capsicum baccatum,recomend,porcat
35,Alimentação e Nutrição,"Prevalência da obesidade e suas comorbidades, hábitos alimentares e prática de atividade física em escolares da região urbana de Maringá/PR - diagnóstico e intervenção",recomend,porcat
36,Alimentação e Nutrição,"Validação de questionário de freqüência do consumo de alimentos e de recordatório de 24-horas com o uso de água duplamente marcada e outros biomarcadores para adultos, Rio de Janeiro",recomend,porcat
